"us" "led" "dir" "war2" "warcri" "warcase" "scmedian" "lctdir" "analu" "value" "term" "nyt" "rally2" "crisis" "sgwin" "uswin" "bef75" "scm" "scm2"
" 3140160" "        " 1 0 1 0  0.605 0 0 2 1941 0 0 0 NA NA 1 1.105 1.221025
" 3140219" "        " 0 0 1 0  0.605 0 0 1 1941 0 0 0 NA NA 1 1.105 1.221025
" 3140252" "        " 1 0 1 0  0.605 0 0 3 1941 0 0 0 NA NA 1 1.105 1.221025
" 3140306" "        " 1 0 1 0  0.605 0 0 1 1941 0 0 0 NA  0 1 1.105 1.221025
" 3140339" "        " 0 0 1 0  0.605 0 0 2 1941 0 0 0 NA  0 1 1.105 1.221025
" 3140513" "        " 0 0 1 0  0.605 1 0 1 1941 0 1 0 NA  1 1 1.105 1.221025
" 3150025" "        " 1 1 1 0  0.605 0 0 2 1941 0 1 0 NA NA 1 1.105 1.221025
" 3150060" "        " 1 0 1 0  0.605 0 0 1 1941 0 0 0 NA NA 1 1.105 1.221025
" 3150257" "        " 1 1 1 0  0.605 0 0 1 1941 0 1 0 NA  0 1 1.105 1.221025
" 3150411" "        " 0 1 1 0  0.605 0 0 1 1941 0 1 0 NA NA 1 1.105 1.221025
" 3150437" "        " 0 1 1 0  0.605 0 0 3 1941 0 1 0 NA NA 1 1.105 1.221025
" 3150521" "        " 1 1 1 0  0.605 0 0 1 1941 0 1 0 NA  1 1 1.105 1.221025
" 3150568" "        " 0 1 1 0  0.605 0 0 3 1941 0 1 0 NA NA 1 1.105 1.221025
" 3150681" "        " 1 1 1 0  0.605 0 0 2 1941 0 1 0 NA  1 1 1.105 1.221025
" 3150722" "        " 0 1 1 0  0.605 0 0 3 1941 1 1 0 NA NA 1 1.105 1.221025
" 3150752" "        " 1 1 1 0  0.605 0 0 1 1941 0 1 0 NA NA 1 1.105 1.221025
" 3150769" "        " 1 1 1 0  0.605 0 0 3 1941 0 1 0 NA NA 1 1.105 1.221025
" 3160001" "        " 0 1 1 0  0.605 1 0 1 1941 0 1 0 NA  1 1 1.105 1.221025
" 3160052" "        " 0 1 1 0  0.605 1 0 3 1941 0 1 0 NA NA 1 1.105 1.221025
" 3160114" "        " 0 1 1 0  0.605 0 0 1 1941 0 1 0 NA  1 1 1.105 1.221025
" 3160129" "        " 0 1 1 0  0.605 0 0 1 1941 0 1 0 NA  1 1 1.105 1.221025
" 3160255" "        " 1 1 1 0  0.605 0 0 1 1941 0 1 0 NA NA 1 1.105 1.221025
" 3160286" "        " 0 1 1 0  0.605 1 0 2 1941 0 1 0 NA  0 1 1.105 1.221025
" 3160310" "        " 1 1 1 0  0.605 0 0 2 1941 0 1 0 NA  0 1 1.105 1.221025
" 3160317" "        " 0 1 1 0  0.605 0 0 2 1941 0 1 0 NA  1 1 1.105 1.221025
" 3160332" "        " 0 1 1 0  0.605 0 0 1 1941 0 1 0 NA  1 1 1.105 1.221025
" 3160400" "        " 1 1 1 0  0.605 0 0 2 1941 0 1 0 NA NA 1 1.105 1.221025
" 3160455" "        " 0 1 1 0  0.605 0 0 2 1941 0 1 0 NA NA 1 1.105 1.221025
" 3160535" "        " 1 1 1 0  0.605 0 0 1 1941 0 1 0 NA NA 1 1.105 1.221025
" 3160547" "        " 1 1 1 0  0.605 0 0 1 1941 0 1 0 NA NA 1 1.105 1.221025
" 3160584" "        " 0 1 1 0  0.605 0 0 3 1941 0 1 0 NA NA 1 1.105 1.221025
" 3170001" "        " 0 1 1 2  0.750 0 0 1 1942 1 0 0 NA  1 1 1.250 1.562500
" 3170049" "        " 1 1 1 0  0.750 0 0 1 1942 0 0 0 NA  0 1 1.250 1.562500
" 3170192" "        " 1 1 1 0  0.750 0 0 2 1942 0 0 0 NA  0 1 1.250 1.562500
" 3170213" "        " 1 1 1 0  0.750 0 0 1 1942 0 0 0 NA NA 1 1.250 1.562500
